coursename,coursecd,trcoursecode,studenttype,resulttype,trsemcode,semname,stu_cnt,tot_pass,tot_fail,other_res
Bachelor of Commerce,C001087,TR00002892,D,B,YR01,First Year,1285,1102,0,183
Bachelor of Commerce,C001087,TR00002891,D,B,YR02,Second Year,1809,1643,0,166
Bachelor of Commerce,C001087,TR00002890,D,B,YR03,Final Year,964,779,0,185
Bachelor of Science,C001088,TR00002899,D,B,YR01,First Year,2306,1506,0,800
Bachelor of Science,C001088,TR00002900,D,B,YR02,Second Year,3206,1936,0,1270
Bachelor of Science,C001088,TR00002901,D,B,YR03,Final Year,2318,1827,0,491
Bachelor of Arts,C001089,TR00002902,D,B,YR01,First Year,6337,4847,0,1490
Bachelor of Arts,C001089,TR00002903,D,B,YR02,Second Year,7674,4534,0,3140
Bachelor of Arts,C001089,TR00002904,D,B,YR03,Final Year,5957,4467,0,1490
Bachelor of Computer Application,C001090,TR00002886,D,B,YR01,First Year,226,178,0,48
Bachelor of Computer Application,C001090,TR00002885,D,B,YR02,Second Year,173,143,0,30
Bachelor of Computer Application,C001090,TR00002884,D,B,YR03,Final Year,111,105,0,6
Bachelor of Business Administration,C001092,TR00002617,D,B,SM02,Second Semester,15,11,0,4
Bachelor of Business Administration,C001092,TR00002618,R,R,SM02,Second Semester,506,303,25,178
Bachelor of Business Administration,C001092,TR00002857,R,RV,SM02,Second Semester,41,25,0,16
Bachelor of Business Administration,C001092,TR00002880,R,RRV,SM02,Second Semester,1,1,0,0
Bachelor of Business Administration,C001092,TR00002620,D,B,SM04,Fourth Semester,13,13,0,0
Bachelor of Business Administration,C001092,TR00002621,R,R,SM04,Fourth Semester,478,409,9,60
Bachelor of Business Administration,C001092,TR00002852,R,RV,SM04,Fourth Semester,3,3,0,0
Bachelor of Business Administration,C001092,TR00002623,D,B,SM06,Six Semester,4,3,0,1
Bachelor of Business Administration,C001092,TR00002624,R,R,SM06,Six Semester,376,255,3,118
Bachelor of Business Administration,C001092,TR00002625,RP,B,SM06,Six Semester,1,1,0,0
Bachelor of Business Administration,C001092,TR00002869,R,RV,SM06,Six Semester,24,15,0,9
Bachelor of Business Administration,C001092,TR00002874,R,RRV,SM06,Six Semester,1,1,0,0
Bachelor of Education,C001095,TR00002626,D,B,SM02,Second Semester,13,12,0,1
Bachelor of Education,C001095,TR00002627,R,R,SM02,Second Semester,4825,4737,21,67
Bachelor of Education,C001095,TR00002628,RP,B,SM02,Second Semester,3,3,0,0
Bachelor of Education,C001095,TR00002629,D,B,SM04,Fourth Semester,44,42,0,2
Bachelor of Education,C001095,TR00002630,R,R,SM04,Fourth Semester,4847,4708,10,129
Bachelor of Education,C001095,TR00002631,RP,B,SM04,Fourth Semester,3,0,1,2
Bachelor of Physical Education,C001096,TR00002642,R,R,SM02,Second Semester,193,190,2,1
Bachelor of Physical Education,C001096,TR00002644,D,B,SM04,Fourth Semester,1,1,0,0
Bachelor of Physical Education,C001096,TR00002645,R,R,SM04,Fourth Semester,193,187,0,6
Bachelor of Science (Home Science),C001097,TR00002887,D,B,YR01,First Year,7,5,0,2
Bachelor of Science (Home Science),C001097,TR00002888,D,B,YR02,Second Year,12,12,0,0
Bachelor of Science (Home Science),C001097,TR00002889,D,B,YR03,Final Year,16,15,0,1
Master of Arts in English,C001099,TR00002674,R,R,SM02,Second Semester,228,216,2,10
Master of Arts in English,C001099,TR00002676,D,B,SM04,Fourth Semester,1,0,0,1
Master of Arts in English,C001099,TR00002677,R,R,SM04,Fourth Semester,211,95,2,114
Master of Arts in Sociology,C001101,TR00002715,D,B,SM02,Second Semester,1,0,0,1
Master of Arts in Sociology,C001101,TR00002716,R,R,SM02,Second Semester,573,493,3,77
Master of Arts in Sociology,C001101,TR00002718,D,B,SM04,Fourth Semester,2,2,0,0
Master of Arts in Sociology,C001101,TR00002719,R,R,SM04,Fourth Semester,491,396,4,91
Master of Arts in Sociology,C001101,TR00002720,RP,B,SM04,Fourth Semester,2,1,0,1
Master of Arts in Economics,C001102,TR00002667,D,B,SM02,Second Semester,1,0,0,1
Master of Arts in Economics,C001102,TR00002668,R,R,SM02,Second Semester,342,309,8,25
Master of Arts in Economics,C001102,TR00002671,R,R,SM04,Fourth Semester,323,302,3,18
Master of Arts in Economics,C001102,TR00002672,RP,B,SM04,Fourth Semester,1,1,0,0
Master of Arts in Geography,C001103,TR00002680,R,R,SM02,Second Semester,295,240,2,53
Master of Arts in Geography,C001103,TR00002683,R,R,SM04,Fourth Semester,262,253,0,9
Master of Arts in Political Science,C001104,TR00002703,D,B,SM02,Second Semester,2,2,0,0
